freq_hz,24V_5W,24V_25W,24V_50W,24V_75W,24V_100W,30V_5W,30V_25W,30V_50W,30V_75W,30V_100W,36V_5W,36V_25W,36V_50W,36V_75W,36V_100W
169000,15.536,14.514,12.246,10.015,8.226,19.595,18.318,15.483,12.694,10.458,23.654,22.121,18.720,15.373,12.689
170000,15.533,14.498,12.212,9.972,8.182,19.591,18.298,15.439,12.640,10.403,23.649,22.098,18.667,15.308,12.623
171000,15.529,14.482,12.177,9.929,8.138,19.587,18.278,15.396,12.586,10.348,23.644,22.074,18.615,15.243,12.557
172000,15.526,14.467,12.142,9.886,8.095,19.583,18.258,15.353,12.532,10.293,23.639,22.050,18.563,15.179,12.492
173000,15.523,14.451,12.107,9.843,8.052,19.579,18.238,15.309,12.479,10.240,23.634,22.026,18.511,15.115,12.427
174000,15.520,14.435,12.073,9.801,8.009,19.574,18.219,15.266,12.426,10.186,23.629,22.002,18.459,15.051,12.363
175000,15.516,14.419,12.039,9.759,7.967,19.570,18.199,15.223,12.373,10.133,23.625,21.978,18.408,14.988,12.300
176000,15.513,14.403,12.004,9.717,7.925,19.567,18.179,15.180,12.321,10.081,23.620,21.955,18.356,14.925,12.237
177000,15.510,14.387,11.970,9.675,7.883,19.563,18.159,15.138,12.269,10.029,23.615,21.931,18.305,14.863,12.175
178000,15.507,14.371,11.936,9.634,7.842,19.559,18.139,15.095,12.218,9.977,23.611,21.907,18.254,14.801,12.113
179000,15.504,14.355,11.902,9.593,7.801,19.555,18.119,15.052,12.166,9.926,23.606,21.883,18.203,14.740,12.052
180000,15.501,14.340,11.868,9.552,7.761,19.551,18.100,15.010,12.115,9.876,23.602,21.859,18.152,14.678,11.991
