# run_id=0x2509059C,profile_id=0x1405,algorithm_id=0x0015,out_sha256=AEF6083F6E08BC65689F86F7F67FF6DCDB3D6409C8219F5C1FA7C1FAAF0A09AA
# data_checksum=0x6c75b0c2,count=480,overflow=0
# scope=supplemental_monotonic_16_level_map,scheduled_cr_not_independently_measured=true
bin,t_end_ms_nominal,t_end_target_ticks,scheduled_cr_ohm,raw_min,raw_max,raw_avg,vout_avg_v,cycle_sum,packet_sum,tick_delta,demand_index
363,36400,1820028,8,1216,1262,1247,10.023673,6566,49,5014,21976
364,36500,1825065,8,1222,1262,1247,10.023673,6654,50,5037,22078
365,36600,1830063,8,1233,1262,1251,10.056031,6545,49,4998,21745
366,36700,1835000,8,1220,1262,1246,10.015584,6419,48,4937,21280
367,36800,1840000,8,1222,1262,1248,10.031763,6558,49,5000,21745
368,36900,1845000,8,1222,1262,1247,10.023673,6546,49,5000,21745
369,37000,1850030,8,1230,1264,1250,10.047941,6576,49,5030,21976
370,37100,1855036,8,1224,1263,1246,10.015584,6560,49,5006,21812
371,37200,1860027,8,1222,1263,1250,10.047941,6545,49,4991,21745
372,37300,1865034,8,1225,1262,1248,10.031763,6560,49,5007,21812
373,37400,1870000,8,1224,1263,1247,10.023673,6530,49,4966,21679
374,37500,1875018,8,1219,1262,1249,10.039852,6650,50,5018,22078
375,37600,1880024,8,1223,1263,1247,10.023673,6556,49,5006,21745
376,37700,1885011,8,1224,1262,1249,10.039852,6545,49,4987,21745
377,37800,1890000,8,1221,1262,1248,10.031763,6548,49,4989,21745
378,37900,1895000,8,1221,1265,1248,10.031763,6531,49,5000,21679
379,38000,1900000,8,1224,1264,1247,10.023673,6564,49,5000,21812
380,38100,1905064,8,1223,1264,1246,10.015584,6660,50,5064,22144
381,38200,1910038,8,1222,1262,1251,10.056031,6550,49,4974,21745
382,38300,1915015,8,1223,1262,1247,10.023673,6537,49,4977,21679
383,38400,1920000,8,1226,1262,1248,10.031763,6469,48,4985,21641
384,38500,1925059,8,1221,1262,1248,10.031763,6665,50,5059,22144
385,38600,1930000,8,1227,1264,1248,10.031763,6520,49,4941,21679
386,38700,1935007,8,1216,1262,1245,10.007495,6654,50,5007,22078
387,38800,1940064,8,1221,1261,1248,10.031763,6659,50,5057,22078
388,38900,1945056,8,1223,1264,1249,10.039852,6542,49,4992,21745
389,39000,1950067,8,1221,1265,1246,10.015584,6557,49,5011,21745
390,39100,1955054,7,1222,1263,1249,10.039852,6546,49,4987,21745
391,39200,1960054,7,1228,1260,1245,10.007495,6554,49,5000,21745
392,39300,1965016,7,1224,1263,1249,10.039852,6544,49,4962,21745
393,39400,1970000,7,1220,1261,1246,10.015584,6542,49,4984,21745
394,39500,1975056,7,1224,1260,1248,10.031763,6660,50,5056,22144
395,39600,1980036,7,1223,1263,1248,10.031763,6544,49,4980,21745
396,39700,1985000,7,1217,1262,1246,10.015584,6522,49,4964,21679
397,39800,1990000,7,1223,1262,1246,10.015584,6561,49,5000,21812
398,39900,1995061,7,1215,1262,1246,10.015584,6678,50,5061,22144
399,40000,2000000,7,1224,1263,1250,10.047941,6419,48,4939,21280
400,40100,2005002,7,1225,1262,1248,10.031763,6571,49,5002,21976
401,40200,2010006,7,1221,1264,1252,10.064120,6559,49,5004,21745
402,40300,2015000,7,1232,1261,1249,10.039852,6539,49,4994,21679
403,40400,2020061,7,1215,1264,1250,10.047941,6682,50,5061,22211
404,40500,2025022,7,1226,1263,1249,10.039852,6536,49,4961,21679
405,40600,2030022,7,1227,1262,1249,10.039852,6551,49,5000,21745
406,40700,2035031,7,1221,1263,1251,10.056031,6558,49,5009,21745
407,40800,2040031,7,1216,1262,1246,10.015584,6547,49,5000,21745
408,40900,2045030,7,1213,1262,1246,10.015584,6550,49,4999,21745
409,41000,2050000,7,1229,1265,1248,10.031763,6538,49,4970,21679
410,41100,2055000,7,1223,1263,1246,10.015584,6557,49,5000,21745
411,41200,2060064,7,1221,1262,1250,10.047941,6655,50,5064,22078
412,41300,2065057,7,1226,1261,1250,10.047941,6545,49,4993,21745
413,41400,2070063,7,1221,1263,1247,10.023673,6550,49,5006,21745
414,41500,2075046,7,1231,1263,1252,10.064120,6540,49,4983,21745
415,41600,2080000,7,1222,1263,1248,10.031763,6432,48,4954,21507
416,41700,2085060,7,1222,1261,1244,9.999405,6675,50,5060,22144
417,41800,2090039,7,1222,1263,1247,10.023673,6534,49,4979,21679
418,41900,2095021,7,1234,1264,1252,10.064120,6542,49,4982,21745
419,42000,2100000,7,1222,1263,1249,10.039852,6537,49,4979,21679
420,42100,2105000,6,1224,1261,1245,10.007495,6555,49,5000,21745
421,42200,2110000,6,1223,1265,1254,10.080299,6647,50,5000,21912
422,42300,2115064,6,1222,1264,1251,10.056031,6655,50,5064,22078
423,42400,2120051,6,1222,1263,1250,10.047941,6551,49,4987,21745
424,42500,2125040,6,1226,1262,1249,10.039852,6537,49,4989,21679
425,42600,2130022,6,1216,1263,1250,10.047941,6548,49,4982,21745
426,42700,2135002,6,1224,1263,1247,10.023673,6536,49,4980,21679
427,42800,2140000,6,1224,1263,1249,10.039852,6561,49,4998,21812
428,42900,2145000,6,1215,1260,1242,9.983227,6542,49,5000,21745
429,43000,2150026,6,1227,1262,1250,10.047941,6658,50,5026,22078
430,43100,2155004,6,1224,1265,1250,10.047941,6546,49,4978,21745
431,43200,2160016,6,1226,1262,1248,10.031763,6554,49,5012,21745
432,43300,2165037,6,1215,1264,1247,10.023673,6551,49,5021,21745
433,43400,2170016,6,1240,1263,1254,10.080299,6540,49,4979,21745
434,43500,2175000,6,1227,1263,1246,10.015584,6529,49,4984,21679
435,43600,2180002,6,1224,1264,1249,10.039852,6570,49,5002,21976
436,43700,2185010,6,1238,1263,1250,10.047941,6644,50,5008,21912
437,43800,2190039,6,1221,1263,1250,10.047941,6663,50,5029,22144
438,43900,2195047,6,1226,1262,1248,10.031763,6558,49,5008,21745
439,44000,2200064,6,1226,1262,1251,10.056031,6564,49,5017,21812
440,44100,2205002,6,1223,1263,1249,10.039852,6531,49,4938,21679
441,44200,2210000,6,1221,1262,1244,9.999405,6537,49,4998,21679
442,44300,2215000,6,1223,1263,1247,10.023673,6557,49,5000,21745
443,44400,2220000,6,1216,1263,1246,10.015584,6534,49,5000,21679
444,44500,2225046,6,1223,1261,1247,10.023673,6678,50,5046,22144
445,44600,2230000,6,1225,1262,1247,10.023673,6530,49,4954,21679
446,44700,2235047,6,1227,1260,1250,10.047941,6585,49,5047,22043
447,44800,2240000,6,1227,1262,1249,10.039852,6527,49,4953,21679
448,44900,2245060,6,1225,1262,1247,10.023673,6664,50,5060,22144
449,45000,2250008,6,1216,1263,1246,10.015584,6524,49,4948,21679
450,45100,2255047,5,1221,1262,1244,9.999405,6653,50,5039,22078
451,45200,2260054,5,1223,1261,1249,10.039852,6555,49,5007,21745
452,45300,2265036,5,1219,1263,1247,10.023673,6537,49,4982,21679
453,45400,2270050,5,1236,1263,1251,10.056031,6553,49,5014,21745
454,45500,2275000,5,1223,1263,1249,10.039852,6529,49,4950,21679
455,45600,2280002,5,1231,1261,1249,10.039852,6550,49,5002,21745
456,45700,2285000,5,1223,1264,1249,10.039852,6550,49,4998,21745
457,45800,2290000,5,1217,1261,1246,10.015584,6542,49,5000,21745
458,45900,2295052,5,1225,1262,1248,10.031763,6665,50,5052,22144
459,46000,2300036,5,1226,1263,1251,10.056031,6539,49,4984,21679
460,46100,2305000,5,1224,1262,1245,10.007495,6512,49,4964,21450
461,46200,2310029,5,1225,1263,1247,10.023673,6653,50,5029,22078
462,46300,2315000,5,1216,1264,1249,10.039852,6521,49,4971,21679
463,46400,2320000,5,1222,1262,1248,10.031763,6534,49,5000,21679
464,46500,2325046,5,1223,1263,1249,10.039852,6664,50,5046,22144
465,46600,2330000,5,1225,1263,1253,10.072209,6511,49,4954,21450
466,46700,2335018,5,1227,1262,1248,10.031763,6654,50,5018,22078
467,46800,2340045,5,1240,1264,1254,10.080299,6638,50,5027,21846
468,46900,2345066,5,1222,1263,1249,10.039852,6644,50,5021,21912
469,47000,2350000,5,1243,1264,1250,10.047941,6527,49,4934,21679
470,47100,2355037,5,1231,1262,1247,10.023673,6650,50,5037,22078
471,47200,2360032,5,1215,1263,1251,10.056031,6553,49,4995,21745
472,47300,2365000,5,1223,1259,1246,10.015584,6534,49,4968,21679
473,47400,2370000,5,1223,1262,1251,10.056031,6534,49,5000,21679
474,47500,2375000,5,1223,1263,1248,10.031763,6635,50,5000,21846
475,47600,2380052,5,1224,1262,1247,10.023673,6662,50,5052,22144
476,47700,2385024,5,1218,1263,1249,10.039852,6537,49,4972,21679
477,47800,2390000,5,1221,1263,1244,9.999405,6527,49,4976,21679
478,47900,2395064,5,1228,1261,1250,10.047941,6670,50,5064,22144
479,48000,2400067,5,1216,1263,1248,10.031763,6557,49,5003,21745
# host_gate_result=FAIL,failure_count=2
