Vin,Pout,freq_hz,gain_M,vout,I_p_rms,I_s_rms,I_diode_avg,I_diode_rms,Q
24.0,0.0,35000.0,1.2544012790307804,11.342252278695492,7.1450593166903555,8.931324145862945,0.0,0.0,0.0
24.0,0.0,40000.0,1.1226900523182963,10.077824502255645,5.5954791007839395,6.994348875979925,0.0,0.0,0.0
24.0,0.0,45000.0,1.0472980423780889,9.354061206829654,4.639756327575426,5.799695409469282,0.0,0.0,0.0
24.0,0.0,50000.0,0.9992976310939664,8.893257258502079,3.9843937326801324,4.9804921658501655,0.0,0.0,0.0
24.0,0.0,60000.0,0.9429978175223029,8.35277904821411,3.1332628681354304,3.916578585169288,0.0,0.0,0.0
24.0,0.0,70000.0,0.9120158440423873,8.05535210280692,2.5974173545483046,3.246771693185381,0.0,0.0,0.0
24.0,0.0,80000.0,0.8929740586421728,7.872550962964859,2.225288124873261,2.7816101560915762,0.0,0.0,0.0
24.0,0.0,100000.0,0.8715739082464427,7.667109519165849,1.7375672219811902,2.171959027476488,0.0,0.0,0.0
24.0,0.0,120000.0,0.8603735302130553,7.559585890045331,1.4293651506141505,1.786706438267688,0.0,0.0,0.0
24.0,0.0,140000.0,0.8537581030070033,7.496077788867232,1.215749774426926,1.5196872180336576,0.0,0.0,0.0
24.0,0.0,150000.0,0.8514214722921452,7.473646134004594,1.131594255976349,1.4144928199704363,0.0,0.0,0.0
24.0,0.0,170000.0,0.8479479934001266,7.440300736641215,0.9943921567613597,1.2429901959516996,0.0,0.0,0.0
24.0,0.0,200000.0,0.8445865195091046,7.408030587287404,0.8418826209350256,1.0523532761687822,0.0,0.0,0.0
24.0,0.0,250000.0,0.8414599266728824,7.378015296059671,0.6710128301748477,0.8387660377185596,0.0,0.0,0.0
24.0,5.0,35000.0,1.2539624598011874,11.3380396140914,7.181083045491288,8.976353806864111,0.2204966718314243,0.4898204506002697,0.029102253337617522
24.0,5.0,40000.0,1.1225706997604152,10.076678717699986,5.63426534026494,7.042831675331175,0.24809761926900334,0.5511343398239826,0.029102253337617522
24.0,5.0,45000.0,1.0472770978271926,9.353860139141048,4.680957408164406,5.851196760205507,0.26726933723744684,0.5937231891525735,0.029102253337617522
24.0,5.0,50000.0,0.9992976256531028,8.893257206269787,4.028128564417726,5.035160705522157,0.28111185159892693,0.6244735245914895,0.029102253337617522
24.0,5.0,60000.0,0.9429491247001008,8.352311597120968,3.1825058216575015,3.978132277071877,0.29931833492200494,0.6649181616514735,0.029102253337617522
24.0,5.0,70000.0,0.9118631574988283,8.053886311988752,2.6525658404183687,3.315707300522961,0.31040914946596426,0.6895557570052913,0.029102253337617522
24.0,5.0,80000.0,0.8926851978557783,7.869777899415472,2.2865578951869154,2.858197368983644,0.31767097266946853,0.7056874722106771,0.029102253337617522
24.0,5.0,100000.0,0.870939981370632,7.661023821158067,1.8113350455319137,2.264168806914892,0.32632714090975,0.7249166433029646,0.029102253337617522
24.0,5.0,120000.0,0.8593091886622376,7.549368211157481,1.5156371872260324,1.8945464840325403,0.33115353895510896,0.7356382040672077,0.029102253337617522
24.0,5.0,140000.0,0.8521825483489736,7.480952464150147,1.3143211698257755,1.6429014622822193,0.3341820459333724,0.7423658550581178,0.029102253337617522
24.0,5.0,150000.0,0.8495606022885824,7.4557817819703915,1.2362004010709313,1.5452505013386642,0.3353102428568272,0.7448720784891678,0.029102253337617522
24.0,5.0,170000.0,0.8454577752781953,7.416394642670675,1.110789427840801,1.3884867848010014,0.3370910153049433,0.7488279602524065,0.029102253337617522
24.0,5.0,200000.0,0.8410070702365546,7.373667874270924,0.9751790217085682,1.2189737771357103,0.33904429147443654,0.7531670489358829,0.029102253337617522
24.0,5.0,250000.0,0.8356842274364715,7.322568583390127,0.8301621564165773,1.0377026955207216,0.34141025400168745,0.7584228962082055,0.029102253337617522
24.0,10.0,35000.0,1.2526487601353928,11.325428097299772,7.287789365877161,9.109736707346451,0.4414844151623821,0.980731787793886,0.058204506675235045
24.0,10.0,40000.0,1.1222128703468348,10.073243555329615,5.748957650323867,7.186197062904833,0.4963644502921374,1.1026445736556467,0.058204506675235045
24.0,10.0,45000.0,1.047214271713231,9.353257008447017,4.802421097265809,6.00302637158226,0.5345731433964075,1.187522948996792,0.058204506675235045
24.0,10.0,50000.0,0.9992976093305123,8.893257049572918,4.156572942829079,5.195716178536349,0.5622237131040888,1.2489470711891002,0.058204506675235045
24.0,10.0,60000.0,0.9428030914786545,8.350909678195084,3.3258050641848342,4.157256330231043,0.5987371666892067,1.330059571162379,0.058204506675235045
24.0,10.0,70000.0,0.9114055575782726,8.049493352751417,2.8113216374655208,3.514152046831901,0.6211571065265787,1.3798641552513775,0.058204506675235045
24.0,10.0,80000.0,0.8918202945414428,7.861474827597852,2.4607975662619515,3.0759969578274395,0.6360129758919291,1.4128655995187898,0.058204506675235045
24.0,10.0,100000.0,0.8690464680783777,7.642846093552426,2.015383495697806,2.5192293696222574,0.6542065532652875,1.4532815667668693,0.058204506675235045
24.0,10.0,120000.0,0.8561397086786056,7.518941203314614,1.7469650867146045,2.1837063583932554,0.6649872455174705,1.477230243601249,0.058204506675235045
24.0,10.0,140000.0,0.8475077110456684,7.436074026038416,1.5699373354474742,1.9624216693093426,0.672397824778482,1.493692411681558,0.058204506675235045
24.0,10.0,150000.0,0.844050357523833,7.402883432228797,1.502810304906912,1.87851288113364,0.6754124991665096,1.5003893343828933,0.058204506675235045
24.0,10.0,170000.0,0.8381167296363803,7.345920604509252,1.397146411742416,1.7464330146780198,0.6806498830018362,1.5120238760241729,0.058204506675235045
24.0,10.0,200000.0,0.8305357556448091,7.273143254190167,1.2859323329655887,1.6074154162069858,0.6874606790013967,1.5271536606950353,0.058204506675235045
24.0,10.0,250000.0,0.819045566121344,7.162837434764903,1.16971228500895,1.4621403562611877,0.6980473933042861,1.5506714268687674,0.058204506675235045
24.0,25.0,35000.0,1.2435670358233217,11.23824354390389,7.983787876875777,9.979734846094722,1.112273457250403,2.470850382892117,0.14551126668808761
