case,f_khz,Lr_uH,Lm_uH,Vin,Cout_uF,Vf,ic_vcr,ic_ilm,ic_ilr,peak_half_A,peak_cycle_A,cross_dac300,cross_dac320
ic_f150_vcr+2_ilm+0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,0.5,-0.1,22.41167832968997,23.813661015307375,True,True
ic_f150_vcr+2_ilm+0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,0.5,0.0,22.56759420969691,24.18543851153025,True,True
ic_f150_vcr+2_ilm+0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,0.5,0.1,22.7167077954476,24.557373209917543,True,True
ic_f200_vcr-2_ilm-0.5_ilr-0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,-0.5,-0.1,18.14343332461037,19.00285972738835,True,True
ic_f200_vcr-2_ilm-0.5_ilr+0.0,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,-0.5,0.0,18.275928495785575,19.142405306252005,True,True
ic_f200_vcr-2_ilm-0.5_ilr+0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,-0.5,0.1,18.406992018465356,19.281982432216566,True,True
ic_f200_vcr-2_ilm+0.0_ilr-0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.0,-0.1,18.15475687448148,19.018702131682534,True,True
ic_f200_vcr-2_ilm+0.0_ilr+0.0,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.0,0.0,18.275624920871408,19.149318171549147,True,True
ic_f200_vcr-2_ilm+0.0_ilr+0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.0,0.1,18.412869809453102,19.288823613280982,True,True
ic_f200_vcr-2_ilm+0.5_ilr-0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.5,-0.1,18.20819672388112,19.070157131848244,True,True
ic_f200_vcr-2_ilm+0.5_ilr+0.0,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.5,0.0,18.328903988698254,19.20077998538541,True,True
ic_f200_vcr-2_ilm+0.5_ilr+0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.5,0.1,18.448671492007207,19.33152224006444,True,True
ic_f200_vcr-1_ilm-0.5_ilr-0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,-0.5,-0.1,17.33079831883885,18.07060633829004,True,True
ic_f200_vcr-1_ilm-0.5_ilr+0.0,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,-0.5,0.0,17.46280709478974,18.2101295125157,True,True
ic_f200_vcr-1_ilm-0.5_ilr+0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,-0.5,0.1,17.59262908038348,18.349719168819583,True,True
ic_f200_vcr-1_ilm+0.0_ilr-0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.0,-0.1,17.3380195913,18.086839194704012,True,True
ic_f200_vcr-1_ilm+0.0_ilr+0.0,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.0,0.0,17.469274485758582,18.21704750835397,True,True
ic_f200_vcr-1_ilm+0.0_ilr+0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.0,0.1,17.598505811901447,18.356566999177186,True,True
ic_f200_vcr-1_ilm+0.5_ilr-0.1,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.5,-0.1,17.39252618380808,18.139840413170262,True,True
