case,f_khz,Lr_uH,Lm_uH,Vin,Cout_uF,Vf,ic_vcr,ic_ilm,ic_ilr,peak_half_A,peak_cycle_A,cross_dac300,cross_dac320
Vin_24.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.834814737870413,31.397030231315174,True,True
Vin_24.2,150.0,3.3850000000000002,17.25,24.2,940.0,0.7,0.0,0.0,0.0,25.035325861494506,31.685280097681545,True,True
Cout_470u_f150k,150.0,3.3850000000000002,17.25,24.0,470.0,0.7,0.0,0.0,0.0,24.812100953300966,31.201090667686586,True,True
Cout_470u_f200k,200.0,3.3850000000000002,17.25,24.0,470.0,0.7,0.0,0.0,0.0,16.647405637163814,17.27192761283258,True,True
Cout_940u_f150k,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.834814737870413,31.397030231315174,True,True
Cout_940u_f200k,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,16.656541265392953,17.284868102622497,True,True
Cout_1410u_f150k,150.0,3.3850000000000002,17.25,24.0,1410.0,0.7,0.0,0.0,0.0,24.84238923462543,31.461869522761976,True,True
Cout_1410u_f200k,200.0,3.3850000000000002,17.25,24.0,1410.0,0.7,0.0,0.0,0.0,16.659587214299588,17.289182913799024,True,True
Vf_0.0_f150k,150.0,3.3850000000000002,17.25,24.0,940.0,0.0,0.0,0.0,0.0,25.85052922725078,34.62348031391059,True,True
Vf_0.0_f200k,200.0,3.3850000000000002,17.25,24.0,940.0,0.0,0.0,0.0,0.0,17.366316708871114,18.099597295246284,True,True
Vf_0.7_f150k,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.834814737870413,31.397030231315174,True,True
Vf_0.7_f200k,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,16.656541265392953,17.284868102622497,True,True
corner_Lr3.350_Lm16.90_Vin23.8_f150k,150.0,3.35,16.900000000000002,23.8,940.0,0.7,0.0,0.0,0.0,24.917901398864146,31.839742471977665,True,True
corner_Lr3.350_Lm16.90_Vin23.8_f200k,200.0,3.35,16.900000000000002,23.8,940.0,0.7,0.0,0.0,0.0,16.69622004825857,17.33910943149912,True,True
corner_Lr3.350_Lm16.90_Vin24.0_f150k,150.0,3.35,16.900000000000002,24.0,940.0,0.7,0.0,0.0,0.0,25.14067384175997,32.13445864035977,True,True
corner_Lr3.350_Lm16.90_Vin24.0_f200k,200.0,3.35,16.900000000000002,24.0,940.0,0.7,0.0,0.0,0.0,16.84631094401798,17.491761206909064,True,True
corner_Lr3.350_Lm16.90_Vin24.2_f150k,150.0,3.35,16.900000000000002,24.2,940.0,0.7,0.0,0.0,0.0,25.344386743960793,32.43003711498828,True,True
corner_Lr3.350_Lm16.90_Vin24.2_f200k,200.0,3.35,16.900000000000002,24.2,940.0,0.7,0.0,0.0,0.0,16.99416906992049,17.644362161463487,True,True
corner_Lr3.350_Lm17.25_Vin23.8_f150k,150.0,3.35,17.25,23.8,940.0,0.7,0.0,0.0,0.0,24.9083715014613,31.83951267374116,True,True
corner_Lr3.350_Lm17.25_Vin23.8_f200k,200.0,3.35,17.25,23.8,940.0,0.7,0.0,0.0,0.0,16.701523014480397,17.339068950727164,True,True
corner_Lr3.350_Lm17.25_Vin24.0_f150k,150.0,3.35,17.25,24.0,940.0,0.7,0.0,0.0,0.0,25.14056626594839,32.134148363658916,True,True
corner_Lr3.350_Lm17.25_Vin24.0_f200k,200.0,3.35,17.25,24.0,940.0,0.7,0.0,0.0,0.0,16.848881405792397,17.49166832347406,True,True
